scenario,distance_source,spatial_weight_scheme,road_distance_factor,reuse_split_scope,objective_mode,solver_status,termination_condition,solve_seconds,potential_retired_tons,capture_rate,network_intake_tons,reuse_share,reuse_tons,recycle_tons,normal_network_reuse_tons,normal_network_recycle_tons,emergency_tons,emergency_share,total_cost_yuan,unit_cost_yuan_per_intake_ton,collection_count,self_build_count,entrusted_count,echelon_count,recycling_count,p01_selected,p01_expansion_level,first_stage_avg_km,second_stage_avg_km,total_tonne_km,allowed_source_collection_arcs,allowed_collection_echelon_arcs,allowed_collection_recycling_arcs,allowed_arc_count,binary_variable_count,continuous_variable_count,constraint_count,validation_passed
spatial_s2,osrm,s2,1.0,network,lexicographic,ok,optimal,0.3743798000505194,8791.460000000003,0.4,3516.584000000001,0.35,1230.8044000000004,2285.7796000000008,1102.8324934181492,2048.1174877765634,365.6340188052889,0.10397420303490228,74179514.46532159,21094.196659406276,3,1,2,1,1,True,,76.461213885149,122.39564407810298,626588.0128597483,113,241,112,466,68,953,229,True
capture_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.714155099936761,8791.46,0.2,1758.292,0.35,615.4021999999999,1142.8898,514.92502595721,956.2893339205074,287.07764012227074,0.16327074235807862,47704506.70360508,27131.1629146951,3,0,3,1,1,True,,65.97185107564327,94.7428043236825,236445.70886628894,113,241,112,466,68,953,229,True
capture_high,osrm,s3,1.0,network,lexicographic,ok,optimal,1.4226863000076264,8791.46,0.6,5274.875999999999,0.35,1846.2065999999995,3428.6693999999998,1810.0886717554538,3361.59324754585,103.19408069868993,0.019563318777292574,70971807.73858668,13454.687416080811,4,2,2,2,1,True,,66.31147788159171,122.19332492659433,974886.8803845546,113,241,112,466,68,953,229,True
scale_low_combo,osrm,s3,1.0,network,lexicographic,ok,optimal,0.4854380999458954,3592.88,0.2,718.576,0.35,251.5016,467.0744,251.50159999999994,467.0744000000001,0.0,0.0,10931067.08096561,15212.123812882159,6,0,6,1,1,True,,64.7148542444323,123.24113001342796,135060.6593440762,113,241,112,466,68,953,229,True
scale_stress_combo,osrm,s3,1.0,network,lexicographic,ok,optimal,0.8805190999992192,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339302,8990.03859063013,123.56339903056768,0.00885480349344978,170794889.38104343,12239.507775117929,7,4,3,4,2,True,,49.55752895114767,65.32577471473383,1588931.2821159302,113,241,112,466,68,953,229,True
transport_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3658501000609249,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362446,2087.1438555244545,305.5934530393013,0.08690065502183407,68727139.84570155,19543.721931767177,3,1,2,1,1,True,,75.9397423207775,122.0644874708533,635789.7101191604,113,241,112,466,68,953,229,True
transport_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.37798929994460195,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.143855524454,305.5934530393013,0.08690065502183407,68917876.7587373,19597.96119152487,3,1,2,1,1,True,,75.9397423207775,122.06448747085324,635789.7101191602,113,241,112,466,68,953,229,True
transport_double,osrm,s3,1.0,network,lexicographic,ok,optimal,0.33081930002663285,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362439,2087.1438555244545,305.5934530393013,0.08690065502183407,69134045.2601778,19659.43235258359,3,1,2,1,1,True,,75.9397423207775,122.0644874708533,635789.7101191604,113,241,112,466,68,953,229,True
transport_fivefold,osrm,s3,1.0,network,lexicographic,ok,optimal,1.0621262999484316,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362448,2087.143855524446,305.5934530393013,0.08690065502183407,70064420.35357568,19924.00020974209,3,1,2,2,1,True,,75.93974232077736,103.50477540430427,576194.6501191586,113,241,112,466,68,953,229,True
radius_tight,osrm,s3,1.0,network,lexicographic,ok,optimal,0.39172110008075833,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1011.0937215436677,1877.7454828668122,627.7447955895196,0.17850982532751092,97776973.59711915,27804.532352168797,4,1,3,1,1,True,,55.68541200641047,149.38337256487443,592410.7444703348,69,164,86,319,68,659,229,True
radius_loose,osrm,s3,1.0,network,lexicographic,ok,optimal,0.48300970008131117,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1160.5974896288192,2155.395337882096,200.59117248908296,0.057041484716157206,59603895.70993934,16949.373514165833,3,1,2,1,1,True,,93.77365617657283,171.21072459535753,878686.3060421428,153,308,137,598,68,1217,229,True
road_factor_low,proxy,s3,0.9166666666666666,network,lexicographic,ok,optimal,0.4486567999701947,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1149.6989585279473,2135.1552086947604,231.7298327772926,0.065896288209607,62230690.06185236,17696.346813229076,3,1,2,1,1,True,,96.47546749472366,94.6998117589207,627982.9127262984,137,259,122,518,68,1057,229,True
road_factor_high,proxy,s3,1.0833333333333333,network,lexicographic,ok,optimal,0.2978566000238061,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.846691436244,2087.143855524454,305.5934530393013,0.08690065502183407,68840167.76541638,19575.86332799569,3,1,2,1,1,True,,74.97563150628704,134.2524621625729,671829.4309293168,107,220,105,432,68,885,229,True
organization_self,osrm,s3,1.0,network,lexicographic,ok,optimal,0.13241600000765175,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466896862444,2087.1438522744543,305.5934530393013,0.08690065502183407,69320430.27342378,19712.43407620116,3,3,0,1,1,True,,64.53776136035158,103.5047752450589,539582.9965272702,113,241,112,466,68,953,250,True
organization_entrusted,osrm,s3,1.0,network,lexicographic,ok,optimal,0.13894259999506176,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466896862444,2087.1438522744543,305.5934530393013,0.08690065502183407,69413940.71141647,19739.025347159764,3,0,3,1,1,True,,64.53776136035158,103.50477524505888,539582.9965272701,113,241,112,466,68,953,250,True
self_build_cost_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.2501685000024736,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,67007538.85592068,19054.724373403475,3,3,0,1,1,True,,64.53776144047279,103.50477540430465,539582.9972958752,113,241,112,466,68,953,229,True
self_build_cost_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.22529249999206513,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,69413940.76843634,19739.025363374327,3,0,3,1,1,True,,64.53776144047279,103.50477540430465,539582.9972958752,113,241,112,466,68,953,229,True
collection_capacity_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3554489999078214,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362446,2087.143855524453,305.5934530393013,0.08690065502183407,69582452.27542235,19786.944453885462,4,2,2,1,1,True,,70.196313972434,100.68158331336402,548687.3128692186,113,241,112,466,68,953,229,True
collection_capacity_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.39398159994743764,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,68822508.30221942,19570.841561646026,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
collection_minimum_zero,osrm,s3,1.0,network,lexicographic,ok,optimal,0.47733260004315525,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1230.8043999999998,2285.7796000000003,0.0,0.0,42251093.60592197,12014.811420947706,6,1,5,1,1,True,,66.19616456724891,177.4879578812227,856935.6860563362,113,241,112,466,68,953,229,True
collection_minimum_100,osrm,s3,1.0,network,lexicographic,ok,optimal,0.6071457000216469,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1219.905868549127,2265.5394701626637,31.138660288209607,0.008854803493449782,44840054.91963699,12751.026257196469,5,1,4,1,1,True,,67.42591413207175,177.25297984520856,852814.9107389469,113,241,112,466,68,953,229,True
collection_minimum_500,osrm,s3,1.0,network,lexicographic,ok,optimal,0.33919770002830774,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1029.8500519144104,1912.5786678410482,574.1552802445415,0.16327074235807862,92849137.84941398,26403.219103941206,3,1,2,1,1,True,,86.05966041312256,98.33787399446763,542576.6010929887,113,241,112,466,68,953,229,True
partner_capacity_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3758831999730319,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362446,2087.143855524454,305.5934530393013,0.08690065502183407,68935078.83934222,19602.852893416515,3,1,2,2,1,True,,75.9397423207775,103.50477540430465,576194.6501191603,113,241,112,466,68,953,229,True
partner_capacity_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.34042839996982366,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362436,2087.1438555244545,305.5934530393013,0.08690065502183407,68822508.30221942,19570.841561646026,3,1,2,1,1,True,,75.9397423207775,122.06448747085321,635789.7101191601,113,241,112,466,68,953,229,True
partner_enhanced,osrm,s3,1.0,network,lexicographic,ok,optimal,0.36751790007110685,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,68787065.27308872,19560.762738239362,3,1,2,1,1,True,,75.9397423207775,122.06448747085332,635789.7101191605,113,241,112,466,68,953,229,True
processing_cost_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.31428280007094145,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,61306446.39945687,17433.522531939198,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
processing_cost_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.31750330002978444,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,76900493.55064389,21867.95297670805,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
reuse_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.29363019997254014,8791.46,0.4,3516.584,0.2,703.3168000000001,2813.2672000000002,642.1981093921397,2568.7924375685584,305.5934530393013,0.08690065502183407,72289973.71957177,20556.873863832563,3,1,2,1,1,True,,75.9397423207775,145.99115247085325,712618.0052544556,113,241,112,466,68,953,229,True
reuse_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.4477658000541851,8791.46,0.4,3516.584,0.5,1758.292,1758.292,1605.495273480349,1605.4952734803496,305.5934530393013,0.08690065502183407,65467613.42198986,18616.82059122997,3,1,2,2,1,True,,75.93974232077748,79.57811040430464,499366.35498386476,113,241,112,466,68,953,229,True
emergency_cost_50,osrm,s3,1.0,network,lexicographic,ok,optimal,0.30943939997814596,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,53542835.650254354,15225.808810554321,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
emergency_cost_75,osrm,s3,1.0,network,lexicographic,ok,optimal,0.2986460999818519,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,61182671.97623689,17398.325186100174,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
emergency_cost_125,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3332171000074595,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,76462344.62820195,21743.357937191875,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
p01_free,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3337806999916211,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,67927706.77494852,19316.389648291788,3,1,2,1,1,False,,71.3464509049393,81.50957695461507,490819.2605029902,113,241,112,466,68,953,229,True
p01_reduced,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3984673999948427,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,69416963.34225424,19739.884883243012,3,1,2,1,2,True,,71.34645090493929,35.36485350006766,342648.98969832284,113,241,112,466,68,953,229,True
p01_fixed_om_low,osrm,s3,1.0,network,lexicographic,ok,optimal,0.31984060001559556,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,68041578.30221942,19348.77093856408,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
p01_fixed_om_high,osrm,s3,1.0,network,lexicographic,ok,optimal,0.3030970999971032,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,69603438.30221942,19792.91218472797,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
facility_count_min_relaxed,osrm,s3,1.0,network,lexicographic,ok,optimal,0.42642440006602556,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.8466914362443,2087.1438555244545,305.5934530393013,0.08690065502183407,68822508.30221942,19570.841561646026,3,1,2,1,1,True,,75.9397423207775,122.06448747085327,635789.7101191602,113,241,112,466,68,953,229,True
p01_stress_no_expand,osrm,s3,1.0,network,lexicographic,ok,optimal,0.837837600032799,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339301,8990.03859063013,123.56339903056768,0.00885480349344978,171328791.0416896,12277.768249715904,7,5,2,4,3,True,,48.877629201795415,31.314956058999115,1109129.9018106768,113,241,112,466,68,953,229,True
p01_stress_expand,osrm,s3,1.0,network,lexicographic,ok,optimal,1.1715047999750823,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339301,8990.03859063013,123.56339903056768,0.00885480349344978,170939920.33893776,12249.900987369265,7,4,3,4,2,True,E2000,47.46054615308835,67.040907102256,1583649.9745365812,113,241,112,466,68,953,229,True
p01_stress_expand_full,osrm,s3,1.0,network,lexicographic,ok,optimal,0.7436512999702245,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.7900103393,8990.038590630133,123.56339903056768,0.00885480349344978,171344124.58576277,12278.8670825474,7,5,2,4,3,True,,46.40963276322342,36.04550291959327,1140422.8488987163,113,241,112,466,68,953,229,True
