scenario,distance_source,cost_item,cost_yuan,share
local_arcs,osrm,fixed_processing,879866.1095638418,0.012850223124185413
local_arcs,osrm,variable_collection,2568792.4335685587,0.03751656709159803
local_arcs,osrm,variable_processing,32522999.352830227,0.47499022159039295
local_arcs,osrm,transport,238613.27374793487,0.0034848868193971677
local_arcs,osrm,expansion,0.0,0.0
local_arcs,osrm,emergency,30559345.303930134,0.44631154833227105
local_ownership,osrm,fixed_collection,907341.5457459616,0.013357458816504396
local_ownership,osrm,fixed_processing,879866.1095638417,0.012952978266717123
local_ownership,osrm,variable_collection,2817652.974588646,0.04148017220607521
local_ownership,osrm,variable_processing,32522999.40347348,0.4787884200364002
local_ownership,osrm,transport,240501.43764646517,0.003540549932640464
local_ownership,osrm,expansion,0.0,0.0
local_ownership,osrm,emergency,30559345.303930134,0.4498804207416627
demand_low,osrm,fixed_collection,510379.6194821034,0.012955114657743742
demand_low,osrm,fixed_processing,1703632.1165228065,0.043243790625032044
demand_low,osrm,variable_collection,1443008.5512943233,0.03662830669667477
demand_low,osrm,variable_processing,12179773.80255604,0.3091627488527291
demand_low,osrm,transport,94712.53007117957,0.002404115759642238
demand_low,osrm,expansion,0.0,0.0
demand_low,osrm,emergency,23464487.39213974,0.5956059234081781
demand_high,osrm,fixed_collection,2211645.0177557813,0.01929652842844519
demand_high,osrm,fixed_processing,1987176.3495684196,0.01733804684473791
demand_high,osrm,variable_collection,7951050.0650410475,0.06937264451767351
demand_high,osrm,variable_processing,93391748.07280603,0.8148398622749015
demand_high,osrm,transport,834442.6913833707,0.0072804844298776875
demand_high,osrm,expansion,0.0,0.0
demand_high,osrm,emergency,8237559.935371179,0.07187243350436434
spatial_s1,osrm,fixed_collection,1077468.0855733294,0.020532605997350066
spatial_s1,osrm,fixed_processing,1703632.1165228065,0.032465005211157805
spatial_s1,osrm,variable_collection,3137621.976410068,0.05979161394462504
spatial_s1,osrm,variable_processing,34429519.987268806,0.6561008887797521
spatial_s1,osrm,transport,391413.7550193907,0.00745891643693561
spatial_s1,osrm,expansion,0.0,0.0
spatial_s1,osrm,emergency,11736297.969928836,0.22365096963017939
spatial_s2,osrm,fixed_collection,907341.5457459616,0.01223169971232607
spatial_s2,osrm,fixed_processing,1703632.1165228065,0.022966342241552994
spatial_s2,osrm,variable_collection,2783241.2691948246,0.03752034897041515
spatial_s2,osrm,variable_processing,31914869.527027827,0.4302383179111776
spatial_s2,osrm,transport,307028.1263012767,0.004138988082010299
spatial_s2,osrm,expansion,0.0,0.0
spatial_s2,osrm,emergency,36563401.88052889,0.49290430308251787
capture_low,osrm,fixed_collection,510379.619482091,0.010698771557436964
capture_low,osrm,fixed_processing,1703632.1165228065,0.035712183905552496
capture_low,osrm,variable_collection,1765457.2318532537,0.03700818547023852
capture_low,osrm,variable_processing,14901415.326175379,0.31236913146927614
capture_low,osrm,transport,115858.39734447819,0.0024286677580448108
capture_low,osrm,expansion,0.0,0.0
capture_low,osrm,emergency,28707764.012227073,0.6017830598394511
capture_high,osrm,fixed_collection,1474430.0118371875,0.02077486904755216
capture_high,osrm,fixed_processing,1845404.2330456127,0.026001933610636838
capture_high,osrm,variable_collection,4472714.780515279,0.06302100683400667
capture_high,osrm,variable_processing,52382156.071931176,0.7380699145338454
capture_high,osrm,transport,477694.5713884316,0.006730765167317469
capture_high,osrm,expansion,0.0,0.0
capture_high,osrm,emergency,10319408.069868993,0.1454015108066415
scale_low_combo,osrm,fixed_collection,1020759.2389642067,0.0933814815519398
scale_low_combo,osrm,fixed_processing,1703632.1165228065,0.155852315597748
scale_low_combo,osrm,variable_collection,862291.2,0.07888444866480761
scale_low_combo,osrm,variable_processing,7278204.8024,0.6658274758073364
scale_low_combo,osrm,transport,66179.72307859734,0.006054278378168297
scale_low_combo,osrm,expansion,0.0,0.0
scale_low_combo,osrm,emergency,0.0,0.0
scale_stress_combo,osrm,fixed_collection,2778733.483847007,0.016269418212202194
scale_stress_combo,osrm,fixed_processing,2867042.4591322616,0.016786465154328415
scale_stress_combo,osrm,variable_collection,11926575.097561572,0.06982981247731236
scale_stress_combo,osrm,variable_processing,140087622.10920903,0.8202096831871445
scale_stress_combo,osrm,transport,778576.3282368057,0.004558545815149081
scale_stress_combo,osrm,expansion,0.0,0.0
scale_stress_combo,osrm,emergency,12356339.903056769,0.07234607515386349
transport_low,osrm,fixed_collection,907341.5457459615,0.013202085053779669
transport_low,osrm,fixed_processing,1703632.1165228065,0.024788345919059193
transport_low,osrm,variable_collection,2817652.974588644,0.0409976754585528
transport_low,osrm,variable_processing,32522999.403473485,0.47321916023990623
transport_low,osrm,transport,216168.50144051455,0.0031453149647407384
transport_low,osrm,expansion,0.0,0.0
transport_low,osrm,emergency,30559345.303930134,0.4446474183639614
transport_high,osrm,fixed_collection,907341.5457459614,0.013165547002011058
transport_high,osrm,fixed_processing,1703632.1165228065,0.024719741765794067
transport_high,osrm,variable_collection,2817652.974588646,0.04088421041252448
transport_high,osrm,variable_processing,32522999.40347348,0.4719094802837243
transport_high,osrm,transport,406905.4144762626,0.005904207059377751
transport_high,osrm,expansion,0.0,0.0
transport_high,osrm,emergency,30559345.303930134,0.44341681347656825
transport_double,osrm,fixed_collection,907341.5457459615,0.013124380937514777
transport_double,osrm,fixed_processing,1703632.1165228065,0.024642448016912483
transport_double,osrm,variable_collection,2817652.974588646,0.040756373563629066
transport_double,osrm,variable_processing,32522999.40347348,0.47043391256908257
transport_double,osrm,transport,623073.9159167771,0.00901254821082597
transport_double,osrm,expansion,0.0,0.0
transport_double,osrm,emergency,30559345.303930134,0.4420303367020352
transport_fivefold,osrm,fixed_collection,907341.5457459616,0.012950104220760263
transport_fivefold,osrm,fixed_processing,1845404.2330456132,0.02633867837245919
transport_fivefold,osrm,variable_collection,2817652.974588642,0.04021517569644527
transport_fivefold,osrm,variable_processing,32522999.40347338,0.4641870901000553
transport_fivefold,osrm,transport,1411676.892791938,0.020148270486903333
transport_fivefold,osrm,expansion,0.0,0.0
transport_fivefold,osrm,emergency,30559345.303930134,0.4361606811233765
radius_tight,osrm,fixed_collection,1077468.0855733294,0.01101965059803278
radius_tight,osrm,fixed_processing,1703632.1165228065,0.01742365358476386
radius_tight,osrm,variable_collection,2671071.3635283844,0.027317999987750523
radius_tight,osrm,variable_processing,29260041.20775221,0.2992528826706732
radius_tight,osrm,transport,290281.2647904641,0.0029688100798306643
radius_tight,osrm,expansion,0.0,0.0
radius_tight,osrm,emergency,62774479.55895197,0.642017003078949
radius_loose,osrm,fixed_collection,907341.5457459615,0.01522285640793537
radius_loose,osrm,fixed_processing,1703632.1165228065,0.028582563207168264
radius_loose,osrm,variable_collection,2916717.7564331875,0.0489350187884918
radius_loose,osrm,variable_processing,33586530.752368435,0.5634955627030879
radius_loose,osrm,transport,430556.28996064985,0.00722362665782686
radius_loose,osrm,expansion,0.0,0.0
radius_loose,osrm,emergency,20059117.248908296,0.33654037223548977
road_factor_low,proxy,fixed_collection,907341.5457459616,0.014580290606518042
road_factor_low,proxy,fixed_processing,1703632.1165228065,0.02737607625481144
road_factor_low,proxy,variable_collection,2867883.3337781667,0.04608471046886542
road_factor_low,proxy,variable_processing,33271138.16084028,0.5346419608680446
road_factor_low,proxy,transport,307711.6272358862,0.00494469251313211
road_factor_low,proxy,expansion,0.0,0.0
road_factor_low,proxy,emergency,23172983.277729258,0.37237226928862843
road_factor_high,proxy,fixed_collection,907341.5457459616,0.013180408694497514
road_factor_high,proxy,fixed_processing,1703632.1165228065,0.024747646204585073
road_factor_high,proxy,variable_collection,2817652.974588645,0.04093036182291475
road_factor_high,proxy,variable_processing,32522999.403473474,0.4724421868682928
road_factor_high,proxy,transport,329196.42115536524,0.0047820397863810185
road_factor_high,proxy,expansion,0.0,0.0
road_factor_high,proxy,emergency,30559345.303930134,0.4439173566233289
organization_self,osrm,fixed_collection,1701265.398273678,0.024542049025998516
organization_self,osrm,fixed_processing,1703632.1165228065,0.0245761907391961
organization_self,osrm,variable_collection,2568792.433568559,0.03705678720452762
organization_self,osrm,variable_processing,32522999.35283023,0.4691690346489233
organization_self,osrm,transport,264395.66829836235,0.0038141088746202856
organization_self,osrm,expansion,0.0,0.0
organization_self,osrm,emergency,30559345.303930134,0.4408418295067341
organization_entrusted,osrm,fixed_collection,510379.6194821034,0.007352696219970718
organization_entrusted,osrm,fixed_processing,1703632.1165228065,0.024543083119362666
organization_entrusted,osrm,variable_collection,3853188.6503528384,0.05551029967268674
organization_entrusted,osrm,variable_processing,32522999.35283023,0.4685369973164655
organization_entrusted,osrm,transport,264395.6682983623,0.0038089707281937575
organization_entrusted,osrm,expansion,0.0,0.0
organization_entrusted,osrm,emergency,30559345.303930134,0.44024795294332075
self_build_cost_low,osrm,fixed_collection,672770.1445350032,0.0100402157133631
self_build_cost_low,osrm,fixed_processing,1703632.1165228065,0.025424484253718807
self_build_cost_low,osrm,variable_collection,1284396.2187842794,0.019167936036958207
self_build_cost_low,osrm,variable_processing,32522999.40347348,0.48536328835184195
self_build_cost_low,osrm,transport,264395.6686749789,0.003945760032217887
self_build_cost_low,osrm,expansion,0.0,0.0
self_build_cost_low,osrm,emergency,30559345.303930134,0.45605831561190013
self_build_cost_high,osrm,fixed_collection,510379.6194821034,0.0073526962139308675
self_build_cost_high,osrm,fixed_processing,1703632.1165228065,0.024543083099201824
self_build_cost_high,osrm,variable_collection,3853188.6563528385,0.05551029971352594
self_build_cost_high,osrm,variable_processing,32522999.40347348,0.4685369976611704
self_build_cost_high,osrm,transport,264395.6686749789,0.0038089707304905522
self_build_cost_high,osrm,expansion,0.0,0.0
self_build_cost_high,osrm,emergency,30559345.303930134,0.44024795258168037
collection_capacity_low,osrm,fixed_collection,1474430.0118371875,0.021189681645611965
collection_capacity_low,osrm,fixed_processing,1703632.1165228065,0.024483645816037975
collection_capacity_low,osrm,variable_collection,3053188.656352838,0.043878715919175415
collection_capacity_low,osrm,variable_processing,32522999.40347347,0.46740231681890754
collection_capacity_low,osrm,transport,268856.7833059171,0.003863858983321312
collection_capacity_low,osrm,expansion,0.0,0.0
collection_capacity_low,osrm,emergency,30559345.303930134,0.43918178081694587
collection_capacity_high,osrm,fixed_collection,907341.5457459616,0.013183790712212406
collection_capacity_high,osrm,fixed_processing,1703632.1165228065,0.024753996309487415
collection_capacity_high,osrm,variable_collection,2817652.974588646,0.04094086432036917
collection_capacity_high,osrm,variable_processing,32522999.40347348,0.47256341283952685
collection_capacity_high,osrm,transport,311536.95795838855,0.004526672532630461
collection_capacity_high,osrm,expansion,0.0,0.0
collection_capacity_high,osrm,emergency,30559345.303930134,0.44403126328577364
collection_minimum_zero,osrm,fixed_collection,1417721.1652280649,0.03355466200357368
collection_minimum_zero,osrm,fixed_processing,1703632.1165228065,0.04032160995435212
collection_minimum_zero,osrm,variable_collection,3091593.3064034935,0.07317191207496157
collection_minimum_zero,osrm,variable_processing,35618248.5316,0.8430136475001844
collection_minimum_zero,osrm,transport,419898.4861676047,0.009938168466928183
collection_minimum_zero,osrm,expansion,0.0,0.0
collection_minimum_zero,osrm,emergency,0.0,0.0
collection_minimum_100,osrm,fixed_collection,1247594.625639342,0.027823218055269994
collection_minimum_100,osrm,fixed_processing,1703632.1165228065,0.037993533227737596
collection_minimum_100,osrm,variable_collection,3054226.9124486214,0.06811380846706036
collection_minimum_100,osrm,variable_processing,35302855.929943174,0.7873062598432021
collection_minimum_100,osrm,transport,417879.306262084,0.009319330830682824
collection_minimum_100,osrm,expansion,0.0,0.0
collection_minimum_100,osrm,emergency,3113866.028820961,0.06944384957604709
collection_minimum_500,osrm,fixed_collection,907341.5457459616,0.009772212933387925
collection_minimum_500,osrm,fixed_processing,1703632.1165228065,0.018348389182523347
collection_minimum_500,osrm,variable_collection,2753942.9758043666,0.029660404389223398
collection_minimum_500,osrm,variable_processing,29802830.652351126,0.3209812319494707
collection_minimum_500,osrm,transport,265862.5345355645,0.002863381833084436
collection_minimum_500,osrm,expansion,0.0,0.0
collection_minimum_500,osrm,emergency,57415528.02445415,0.6183743797123101
partner_capacity_low,osrm,fixed_collection,907341.5457459615,0.01316226166739551
partner_capacity_low,osrm,fixed_processing,1845404.233045613,0.02677017657942265
partner_capacity_low,osrm,variable_collection,2817652.974588646,0.0408740081541848
partner_capacity_low,osrm,variable_processing,32522999.40347348,0.4717917198480398
partner_capacity_low,osrm,transport,282335.3785583885,0.004095670641305711
partner_capacity_low,osrm,expansion,0.0,0.0
partner_capacity_low,osrm,emergency,30559345.303930134,0.4433061631096516
partner_capacity_high,osrm,fixed_collection,907341.5457459615,0.013183790712212404
partner_capacity_high,osrm,fixed_processing,1703632.1165228065,0.024753996309487415
partner_capacity_high,osrm,variable_collection,2817652.9745886456,0.04094086432036916
partner_capacity_high,osrm,variable_processing,32522999.40347348,0.47256341283952685
partner_capacity_high,osrm,transport,311536.9579583885,0.00452667253263046
partner_capacity_high,osrm,expansion,0.0,0.0
partner_capacity_high,osrm,emergency,30559345.303930134,0.44403126328577364
partner_enhanced,osrm,fixed_collection,907341.5457459615,0.013190583755009198
partner_enhanced,osrm,fixed_processing,1668189.0873921048,0.024251493805838284
partner_enhanced,osrm,variable_collection,2817652.9745886466,0.0409619593945809
partner_enhanced,osrm,variable_processing,32522999.40347348,0.4728069045300195
partner_enhanced,osrm,transport,311536.9579583886,0.004529004933145038
partner_enhanced,osrm,expansion,0.0,0.0
partner_enhanced,osrm,emergency,30559345.303930134,0.44426005358140697
processing_cost_low,osrm,fixed_collection,907341.5457459616,0.01480010013684303
processing_cost_low,osrm,fixed_processing,1703632.1165228065,0.0277887924774237
processing_cost_low,osrm,variable_collection,2817652.974588646,0.04596014187854816
processing_cost_low,osrm,variable_processing,25006937.500710938,0.4079006200713744
processing_cost_low,osrm,transport,311536.95795838855,0.005081634579314787
processing_cost_low,osrm,expansion,0.0,0.0
processing_cost_low,osrm,emergency,30559345.303930134,0.4984687108564959
processing_cost_high,osrm,fixed_collection,907341.5457459616,0.011798904062279122
processing_cost_high,osrm,fixed_processing,1703632.1165228065,0.022153721489457746
processing_cost_high,osrm,variable_collection,2817652.974588646,0.03664024565372967
processing_cost_high,osrm,variable_processing,40600984.65189796,0.5279678032906202
processing_cost_high,osrm,transport,311536.95795838855,0.004051169811455391
processing_cost_high,osrm,expansion,0.0,0.0
processing_cost_high,osrm,emergency,30559345.303930134,0.39738815569245795
reuse_low,osrm,fixed_collection,907341.5457459616,0.012551416179313234
reuse_low,osrm,fixed_processing,1703632.1165228065,0.023566644568603093
reuse_low,osrm,variable_collection,2817652.974588646,0.038977092252363
reuse_low,osrm,variable_processing,35952818.95620954,0.49734170738086303
reuse_low,osrm,transport,349182.82257468323,0.004830307781397707
reuse_low,osrm,expansion,0.0,0.0
reuse_low,osrm,emergency,30559345.303930134,0.42273283183745997
reuse_high,osrm,fixed_collection,907341.5457459616,0.01385939548303735
reuse_high,osrm,fixed_processing,1845404.233045613,0.028188048052867645
reuse_high,osrm,variable_collection,2817652.9745886466,0.043038883309013794
reuse_high,osrm,variable_processing,29093179.85073741,0.4443904142833062
reuse_high,osrm,transport,244689.5139420938,0.0037375658154037007
reuse_high,osrm,expansion,0.0,0.0
reuse_high,osrm,emergency,30559345.303930134,0.46678569305637135
emergency_cost_50,osrm,fixed_collection,907341.5457459616,0.016946086898960332
emergency_cost_50,osrm,fixed_processing,1703632.1165228065,0.031818115268512366
emergency_cost_50,osrm,variable_collection,2817652.974588646,0.05262427625226571
emergency_cost_50,osrm,variable_processing,32522999.40347348,0.6074201899935978
emergency_cost_50,osrm,transport,311536.95795838855,0.0058184620626626935
emergency_cost_50,osrm,expansion,0.0,0.0
emergency_cost_50,osrm,emergency,15279672.651965067,0.28537286952400104
emergency_cost_75,osrm,fixed_collection,907341.5457459616,0.014830041193662963
emergency_cost_75,osrm,fixed_processing,1703632.1165228065,0.027845010057496192
emergency_cost_75,osrm,variable_collection,2817652.974588646,0.04605312065617225
emergency_cost_75,osrm,variable_processing,32522999.40347348,0.5315720669425044
emergency_cost_75,osrm,transport,311536.95795838855,0.0050919148820337285
emergency_cost_75,osrm,expansion,0.0,0.0
emergency_cost_75,osrm,emergency,22919508.9779476,0.37460784626813043
emergency_cost_125,osrm,fixed_collection,907341.5457459616,0.01186651482056833
emergency_cost_125,osrm,fixed_processing,1703632.1165228065,0.022280668017789874
emergency_cost_125,osrm,variable_collection,2817652.974588646,0.036850203695550796
emergency_cost_125,osrm,variable_processing,32522999.40347348,0.42534661422712744
emergency_cost_125,osrm,transport,311536.95795838855,0.004074384057580717
emergency_cost_125,osrm,expansion,0.0,0.0
emergency_cost_125,osrm,emergency,38199181.62991267,0.49958161518138294
p01_free,osrm,fixed_collection,907341.5457459616,0.013357458816504396
p01_free,osrm,fixed_processing,879866.1095638417,0.012952978266717123
p01_free,osrm,variable_collection,2817652.974588646,0.04148017220607521
p01_free,osrm,variable_processing,32522999.40347348,0.4787884200364002
p01_free,osrm,transport,240501.43764646517,0.003540549932640464
p01_free,osrm,expansion,0.0,0.0
p01_free,osrm,emergency,30559345.303930134,0.4498804207416627
p01_reduced,osrm,fixed_collection,907341.5457459616,0.01307089077452717
p01_reduced,osrm,fixed_processing,2441726.109563842,0.03517477561680602
p01_reduced,osrm,variable_collection,2817652.974588646,0.04059026553346126
p01_reduced,osrm,variable_processing,32522999.40347348,0.46851659648552607
p01_reduced,osrm,transport,167898.0049521782,0.002418688413729247
p01_reduced,osrm,expansion,0.0,0.0
p01_reduced,osrm,emergency,30559345.303930134,0.4402287831759503
p01_fixed_om_low,osrm,fixed_collection,907341.5457459616,0.013335104334526664
p01_fixed_om_low,osrm,fixed_processing,922702.1165228066,0.013560857045738301
p01_fixed_om_low,osrm,variable_collection,2817652.974588646,0.04141075273230013
p01_fixed_om_low,osrm,variable_processing,32522999.40347348,0.47798713984876257
p01_fixed_om_low,osrm,transport,311536.95795838855,0.004578626271346011
p01_fixed_om_low,osrm,expansion,0.0,0.0
p01_fixed_om_low,osrm,emergency,30559345.303930134,0.4491275197673263
p01_fixed_om_high,osrm,fixed_collection,907341.5457459616,0.013035872478113334
p01_fixed_om_high,osrm,fixed_processing,2484562.1165228067,0.03569596814649863
p01_fixed_om_high,osrm,variable_collection,2817652.974588646,0.04048151992656375
p01_fixed_om_high,osrm,variable_processing,32522999.40347348,0.46726139105740744
p01_fixed_om_high,osrm,transport,311536.95795838855,0.004475884605092198
p01_fixed_om_high,osrm,expansion,0.0,0.0
p01_fixed_om_high,osrm,emergency,30559345.303930134,0.4390493637863246
facility_count_min_relaxed,osrm,fixed_collection,907341.5457459616,0.013183790712212406
facility_count_min_relaxed,osrm,fixed_processing,1703632.1165228065,0.024753996309487415
facility_count_min_relaxed,osrm,variable_collection,2817652.974588646,0.04094086432036917
facility_count_min_relaxed,osrm,variable_processing,32522999.40347348,0.47256341283952685
facility_count_min_relaxed,osrm,transport,311536.95795838855,0.004526672532630461
facility_count_min_relaxed,osrm,expansion,0.0,0.0
facility_count_min_relaxed,osrm,emergency,30559345.303930134,0.44403126328577364
p01_stress_no_expand,osrm,fixed_collection,3175695.4101108653,0.018535678625889097
p01_stress_no_expand,osrm,fixed_processing,3605136.452173297,0.021042210303673103
p01_stress_no_expand,osrm,variable_collection,11560523.515252402,0.06747566153338097
p01_stress_no_expand,osrm,variable_processing,140087622.10920903,0.8176537128258926
p01_stress_no_expand,osrm,transport,543473.6518872313,0.003172109302720681
p01_stress_no_expand,osrm,expansion,0.0,0.0
p01_stress_no_expand,osrm,emergency,12356339.903056769,0.07212062740844351
p01_stress_expand,osrm,fixed_collection,2778733.483847007,0.016255614711515983
p01_stress_expand,osrm,fixed_processing,2867042.4591322616,0.016772222974291328
p01_stress_expand,osrm,variable_collection,11926575.097561572,0.06977056660558688
p01_stress_expand,osrm,variable_processing,140087622.10920903,0.8195137907601973
p01_stress_expand,osrm,transport,775988.4875229248,0.004539539307051878
p01_stress_expand,osrm,expansion,147618.79860820706,0.0008635712378683116
p01_stress_expand,osrm,emergency,12356339.903056769,0.0722846944034884
p01_stress_expand_full,osrm,fixed_collection,3175695.4101108653,0.01853401987251297
p01_stress_expand_full,osrm,fixed_processing,3605136.4521732964,0.021040327241386207
p01_stress_expand_full,osrm,variable_collection,11560523.515252402,0.0674696231528267
p01_stress_expand_full,osrm,variable_processing,140087622.10920906,0.817580541193819
p01_stress_expand_full,osrm,transport,558807.1959603709,0.0032613151884333886
p01_stress_expand_full,osrm,expansion,0.0,0.0
p01_stress_expand_full,osrm,emergency,12356339.903056769,0.07211417335102177
