scenario,distance_source,facility_id,name,type,city,existing,throughput_tons,capacity_tons,utilization,lon,lat
road_factor_low,proxy,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1149.6989585279484,1500.0,0.7664659723519657,114.4127007,23.1125153
road_factor_low,proxy,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2135.1552086947604,8000.0,0.26689440108684503,115.3492668,22.838065
road_factor_high,proxy,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1123.8466914362464,1500.0,0.7492311276241642,114.0545429,22.5445741
road_factor_high,proxy,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.143855524454,8000.0,0.26089298194055677,115.3492668,22.838065
organization_self,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1123.8466896862444,1500.0,0.7492311264574962,112.4603629,23.0501661
organization_self,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438522744543,8000.0,0.2608929815343068,115.3492668,22.838065
organization_entrusted,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1123.8466896862446,1500.0,0.7492311264574965,112.4603629,23.0501661
organization_entrusted,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438522744543,8000.0,0.2608929815343068,115.3492668,22.838065
self_build_cost_low,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1123.8466914362443,1500.0,0.7492311276241629,112.4603629,23.0501661
self_build_cost_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
self_build_cost_high,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1123.8466914362443,1500.0,0.7492311276241629,112.4603629,23.0501661
self_build_cost_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
collection_capacity_low,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1123.8466914362443,1500.0,0.7492311276241629,112.4603629,23.0501661
collection_capacity_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.143855524453,8000.0,0.26089298194055666,115.3492668,22.838065
collection_capacity_high,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
collection_capacity_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
collection_minimum_zero,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,1230.8043999999998,1500.0,0.8205362666666665,113.0761073,22.5816619
collection_minimum_zero,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2285.7796000000003,8000.0,0.28572245,115.3492668,22.838065
collection_minimum_100,osrm,P06,江门市朗达锂电池有限公司,echelon,江门,0,1219.905868549127,1500.0,0.8132705790327514,113.0761073,22.5816619
collection_minimum_100,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2265.5394701626637,8000.0,0.283192433770333,115.3492668,22.838065
collection_minimum_500,osrm,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1029.8500519144104,1500.0,0.6865667012762736,113.2589581,23.1288429
collection_minimum_500,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1912.5786678410482,8000.0,0.23907233348013102,115.3492668,22.838065
partner_capacity_low,osrm,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,823.8466914362446,900.0,0.9153852127069384,114.0545429,22.5445741
partner_capacity_low,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,300.0,900.0,0.3333333333333333,112.4603629,23.0501661
partner_capacity_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.143855524454,8000.0,0.26089298194055677,115.3492668,22.838065
partner_capacity_high,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.8466914362448,2400.0,0.468269454765102,114.0545429,22.5445741
partner_capacity_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
partner_enhanced,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1123.846691436245,2400.0,0.46826945476510207,114.0545429,22.5445741
partner_enhanced,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
processing_cost_low,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
processing_cost_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
processing_cost_high,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
processing_cost_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
reuse_low,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,642.1981093921397,1500.0,0.42813207292809313,114.0545429,22.5445741
reuse_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2568.7924375685584,8000.0,0.3210990546960698,115.3492668,22.838065
reuse_high,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1305.4952734803492,1500.0,0.8703301823202327,114.0545429,22.5445741
reuse_high,osrm,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,300.0000000000003,1500.0,0.20000000000000018,112.4603629,23.0501661
reuse_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1605.4952734803494,8000.0,0.20068690918504367,115.3492668,22.838065
emergency_cost_50,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
emergency_cost_50,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
emergency_cost_75,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
emergency_cost_75,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
emergency_cost_125,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
emergency_cost_125,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
p01_free,osrm,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1123.8466914362443,1500.0,0.7492311276241629,114.4127007,23.1125153
p01_free,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2087.1438555244545,5000.0,0.4174287711048909,113.1159558,23.0239788
p01_reduced,osrm,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1123.8466914362443,1500.0,0.7492311276241629,113.2589581,23.1288429
p01_reduced,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,322.1513425502184,2000.0,0.1610756712751092,115.3492668,22.838065
p01_reduced,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,1764.992512974236,5000.0,0.3529985025948472,113.1159558,23.0239788
p01_fixed_om_low,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
p01_fixed_om_low,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
p01_fixed_om_high,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1123.846691436244,1500.0,0.7492311276241628,114.0545429,22.5445741
p01_fixed_om_high,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
facility_count_min_relaxed,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1123.8466914362443,1500.0,0.7492311276241629,114.0545429,22.5445741
facility_count_min_relaxed,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.1438555244545,8000.0,0.2608929819405568,115.3492668,22.838065
p01_stress_no_expand,osrm,P02E,广东光华科技股份有限公司（梯次功能）,echelon,汕头,0,1127.7810932489083,1500.0,0.7518540621659389,116.6775856,23.3563921
p01_stress_no_expand,osrm,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,713.0089170903956,1500.0,0.4753392780602637,113.2589581,23.1288429
p01_stress_no_expand,osrm,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_no_expand,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_no_expand,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,300.0000000000027,2000.0,0.15000000000000133,115.3492668,22.838065
p01_stress_no_expand,osrm,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,3690.0385906301303,5000.0,0.7380077181260261,112.4603629,23.0501661
p01_stress_no_expand,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,4999.999999999997,5000.0,0.9999999999999994,113.1159558,23.0239788
p01_stress_expand,osrm,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1500.0,1500.0,1.0,113.2589581,23.1288429
p01_stress_expand,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1401.1384241471615,1500.0,0.9340922827647743,114.0545429,22.5445741
p01_stress_expand,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_expand,osrm,P21E,广东瑞科美电源技术有限公司（梯次功能）,echelon,佛山,0,439.6515861921398,1500.0,0.29310105746142656,113.1159558,23.0239788
p01_stress_expand,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3990.0385906301312,4000.0,0.9975096476575328,115.3492668,22.838065
p01_stress_expand,osrm,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,5000.0,5000.0,1.0,112.4603629,23.0501661
p01_stress_expand_full,osrm,P02E,广东光华科技股份有限公司（梯次功能）,echelon,汕头,0,1127.7810932489083,1500.0,0.7518540621659389,116.6775856,23.3563921
p01_stress_expand_full,osrm,P07,广东迪度新能源有限公司,echelon,东莞,0,713.0089170903916,1500.0,0.47533927806026105,113.7452332,23.0183568
p01_stress_expand_full,osrm,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_expand_full,osrm,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_expand_full,osrm,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,300.0,2000.0,0.15,115.3492668,22.838065
p01_stress_expand_full,osrm,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,3939.6515861921393,5000.0,0.7879303172384279,112.4603629,23.0501661
p01_stress_expand_full,osrm,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,4750.387004437993,5000.0,0.9500774008875985,113.1159558,23.0239788
