scenario,spatial_weight_scheme,road_distance_factor,reuse_split_scope,objective_mode,solver_status,termination_condition,solve_seconds,potential_retired_tons,capture_rate,network_intake_tons,reuse_share,reuse_tons,recycle_tons,normal_network_reuse_tons,normal_network_recycle_tons,emergency_tons,emergency_share,total_cost_yuan,unit_cost_yuan_per_intake_ton,collection_count,self_build_count,entrusted_count,echelon_count,recycling_count,p01_selected,p01_expansion_level,first_stage_avg_km,second_stage_avg_km,total_tonne_km,binary_variable_count,continuous_variable_count,constraint_count,validation_passed
capture_low,s3,1.0,network,lexicographic,ok,optimal,1.3025863000075333,8791.46,0.2,1758.292,0.35,615.4021999999999,1142.8898,514.9250259572052,956.2893339205199,287.07764012227074,0.16327074235807862,47703480.512199014,27130.57928501012,3,0,3,1,1,True,,63.3890492563725,95.90210985778646,234351.44069031888,68,951,229,True
capture_high,s3,1.0,network,lexicographic,ok,optimal,2.413416999974288,8791.46,0.6,5274.875999999999,0.35,1846.2065999999995,3428.6693999999998,1829.8588033486874,3398.309206218995,46.7079904323144,0.00885480349344978,66214286.86997136,12552.76652379532,5,2,3,2,1,True,,61.7967584557732,122.0186545275095,961017.861824671,68,951,229,True
scale_low_combo,s3,1.0,network,lexicographic,ok,optimal,0.5089659999939613,3592.88,0.2,718.576,0.35,251.5016,467.0744,251.5016,467.0744000000001,0.0,0.0,10930918.09108317,15211.916472416517,6,0,6,1,1,True,,68.01447285745775,119.51836759296272,134756.59835950134,68,951,229,True
scale_stress_combo,s3,1.0,network,lexicographic,ok,optimal,0.7197951000416651,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.79001033931,8990.038590630127,123.56339903056768,0.00885480349344978,170572846.1330917,12223.595706146974,6,5,1,4,2,True,,50.62466606141383,69.74371454461149,1664794.4411381893,68,951,229,True
transport_low,s3,1.0,network,lexicographic,ok,optimal,0.5539071999955922,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65658188.538900964,18671.013841529442,4,1,3,1,1,True,,71.8090040470786,125.248886092407,640171.7089553218,68,951,229,True
transport_high,s3,1.0,network,lexicographic,ok,optimal,1.0256393000017852,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.6211613065498,267.9360595283843,0.07619213973799127,65850240.05158755,18725.62692988069,4,1,3,1,1,True,,71.80900404707859,125.24888609240695,640171.7089553216,68,951,229,True
transport_double,s3,1.0,network,lexicographic,ok,optimal,0.8761838999926113,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650626,2111.62116130655,267.9360595283843,0.07619213973799127,66067898.43263235,18787.521763345438,4,1,3,1,1,True,,71.80900404707874,125.24888609240688,640171.7089553218,68,951,229,True
transport_fivefold,s3,1.0,network,lexicographic,ok,optimal,2.0325217000208795,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.026779165052,2111.62116130655,267.9360595283843,0.07619213973799127,67008950.84479659,19055.125896266545,4,1,3,1,1,True,,71.80900404707783,125.24888609240621,640171.7089553168,68,951,229,True
radius_tight,s3,1.0,network,lexicographic,ok,optimal,1.2112473999732174,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1011.0937215436688,1877.74548286681,627.7447955895196,0.17850982532751092,97693387.93835397,27780.76335965641,3,2,1,1,1,True,,28.563481153823176,126.75645669747682,448694.32569143473,68,679,229,True
radius_loose,s3,1.0,network,lexicographic,ok,optimal,0.7979006999521516,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1193.0391287484717,2215.644096247161,107.9007750043668,0.030683406113537117,51485621.506490335,14640.80525489803,3,1,2,1,1,True,,135.28707766734715,204.98491510466047,1159879.4336977778,68,1233,229,True
road_factor_low,s3,0.9166666666666666,network,lexicographic,ok,optimal,0.5344255000236444,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1149.6989585279473,2135.1552086947604,231.7298327772926,0.065896288209607,62230690.06185236,17696.346813229076,3,1,2,1,1,True,,96.47546749472366,94.6998117589207,627982.9127262984,68,1057,229,True
road_factor_high,s3,1.0833333333333333,network,lexicographic,ok,optimal,0.5529543999582529,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1123.846691436244,2087.143855524454,305.5934530393013,0.08690065502183407,68840167.76541638,19575.86332799569,3,1,2,1,1,True,,74.97563150628704,134.2524621625729,671829.4309293168,68,885,229,True
organization_self,s3,1.0,network,lexicographic,ok,optimal,0.32528439996531233,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.026776715066,2111.621156756549,267.9360595283843,0.07619213973799127,66538303.99325628,18921.289522234158,4,4,0,1,1,True,,66.02929106760607,103.19390096497379,549746.5742766733,68,951,250,True
organization_entrusted,s3,1.0,network,lexicographic,ok,optimal,0.20882920001167804,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267767150651,2111.62115675655,267.9360595283843,0.07619213973799127,66249915.4615895,18839.28137692417,4,0,4,1,1,True,,66.02929106760607,103.19390096497384,549746.5742766734,68,951,250,True
self_build_cost_low,s3,1.0,network,lexicographic,ok,optimal,0.33428399998228997,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,63872005.131981336,18163.082449326204,4,4,0,1,1,True,,63.82940087685014,108.21269913088081,558904.2138645268,68,951,229,True
self_build_cost_high,s3,1.0,network,lexicographic,ok,optimal,0.469202000007499,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650638,2111.62116130655,267.9360595283843,0.07619213973799127,66254402.784288086,18840.557422853566,4,0,4,1,1,True,,63.82940087685011,108.21269913088074,558904.2138645265,68,951,229,True
collection_capacity_low,s3,1.0,network,lexicographic,ok,optimal,0.2631971000228077,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,66279789.53411969,18847.776573549698,4,3,1,1,1,True,,71.560494198499,107.68865992642843,582317.3953792247,68,951,229,True
collection_capacity_high,s3,1.0,network,lexicographic,ok,optimal,0.4837270000134595,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65754214.29524426,18698.320385705065,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
collection_minimum_zero,s3,1.0,network,lexicographic,ok,optimal,0.8119855999830179,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1230.8044,2285.7796000000008,0.0,0.0,42240096.24421093,12011.684135573309,6,1,5,1,1,True,,63.14755224929914,174.15435514937582,834492.090727662,68,951,229,True
collection_minimum_100,s3,1.0,network,lexicographic,ok,optimal,0.761524300032761,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1219.9058685491266,2265.5394701626637,31.138660288209607,0.008854803493449782,44829851.677761525,12748.124793197469,5,1,4,1,1,True,,64.08436833871856,174.62026957623098,831991.9677882512,68,951,229,True
collection_minimum_500,s3,1.0,network,lexicographic,ok,optimal,0.801492300000973,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1029.8500519143938,1912.5786678410393,574.1552802445415,0.16327074235807862,92869776.26474033,26409.087985596347,3,1,2,1,1,True,,66.77957950798842,131.93239340044846,584695.8160450533,68,951,229,True
partner_capacity_low,s3,1.0,network,lexicographic,ok,optimal,0.8301113999914378,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,65867766.28394269,18730.610809792313,4,1,3,2,1,True,,71.8090040470786,107.52086549550485,582579.6113545572,68,951,229,True
partner_capacity_high,s3,1.0,network,lexicographic,ok,optimal,0.6065649000229314,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650658,2111.62116130655,267.9360595283843,0.07619213973799127,65754214.29524426,18698.320385705065,4,1,3,1,1,True,,71.8090040470786,125.24888609240693,640171.7089553216,68,951,229,True
partner_enhanced,s3,1.0,network,lexicographic,ok,optimal,0.9454788999864832,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650663,2111.621161306548,267.9360595283843,0.07619213973799127,65718771.266113535,18688.241562298394,4,1,3,1,1,True,,71.8090040470785,125.24888609240676,640171.7089553208,68,951,229,True
processing_cost_low,s3,1.0,network,lexicographic,ok,optimal,0.47381990001304075,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,58150006.60177154,16535.935613018642,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
processing_cost_high,s3,1.0,network,lexicographic,ok,optimal,0.5036776000051759,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,73926935.37824266,21022.371533921174,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
reuse_low,s3,1.0,network,lexicographic,ok,optimal,0.44538550003198907,8791.46,0.4,3516.584,0.2,703.3168000000001,2813.2672000000002,649.729588094323,2598.9183523772926,267.9360595283843,0.07619213973799127,69263447.2668684,19696.229996743543,4,1,3,1,1,True,,71.8090040470786,149.86802858346553,720150.6355050763,68,951,229,True
reuse_high,s3,1.0,network,lexicographic,ok,optimal,0.465632600011304,8791.46,0.4,3516.584,0.5,1758.292,1758.292,1624.3239702358062,1624.3239702358078,267.9360595283843,0.07619213973799127,62358533.31231855,17732.701198753835,4,1,3,2,1,True,,71.80900404707859,82.90172300444628,502600.6848048025,68,951,229,True
emergency_cost_50,s3,1.0,network,lexicographic,ok,optimal,0.47057439998025075,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,52357411.318825044,14888.713398805501,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
emergency_cost_75,s3,1.0,network,lexicographic,ok,optimal,0.5147944999625906,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,59055812.80703465,16793.516892255284,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
emergency_cost_125,s3,1.0,network,lexicographic,ok,optimal,0.5286749000078999,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,72452615.78345387,20603.123879154846,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
p01_free,s3,1.0,network,lexicographic,ok,optimal,0.29481459996895865,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650647,2111.62116130655,267.9360595283843,0.07619213973799127,64826372.59040787,18434.47294033297,4,1,3,1,1,False,,73.58841975184937,58.08861431602704,427772.3255320175,68,951,229,True
p01_reduced,s3,1.0,network,lexicographic,ok,optimal,0.48371030000271276,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650651,2111.6211613065498,267.9360595283843,0.07619213973799127,66359543.30239756,18870.455903341866,4,1,3,1,2,True,,66.41845140728057,47.23583336893517,369222.75816402776,68,951,229,True
p01_fixed_om_low,s3,1.0,network,lexicographic,ok,optimal,0.5262333000428043,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,64973284.29524426,18476.24976262312,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
p01_fixed_om_high,s3,1.0,network,lexicographic,ok,optimal,0.4280461000162177,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650654,2111.62116130655,267.9360595283843,0.07619213973799127,66535144.29524426,18920.39100878701,4,1,3,1,1,True,,71.8090040470786,125.24888609240695,640171.7089553217,68,951,229,True
facility_count_min_relaxed,s3,1.0,network,lexicographic,ok,optimal,0.571121699991636,8791.46,0.4,3516.584,0.35,1230.8043999999998,2285.7796,1137.0267791650488,2111.62116130655,267.9360595283843,0.07619213973799127,65754214.295244165,18698.32038570504,4,1,3,1,1,True,,71.80900404707862,125.24888609240587,640171.7089553182,68,951,229,True
p01_stress_no_expand,s3,1.0,network,lexicographic,ok,optimal,0.7780195000232197,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339301,8990.03859063013,123.56339903056768,0.00885480349344978,171169305.254553,12266.339175117984,6,5,1,4,3,True,,55.19951918477266,44.26984179883116,1375743.6828121808,68,951,229,True
p01_stress_expand,s3,1.0,network,lexicographic,ok,optimal,0.420709399972111,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339301,8990.03859063013,123.56339903056768,0.00885480349344978,170824938.21192136,12241.661135212582,7,5,2,4,2,True,E2000,37.16915984528108,64.28490540965166,1403193.7874125428,68,951,229,True
p01_stress_expand_full,s3,1.0,network,lexicographic,ok,optimal,0.8877350999973714,23257.32,0.6,13954.392,0.35,4884.0372,9070.354800000001,4840.790010339301,8990.03859063013,123.56339903056768,0.00885480349344978,171169305.25455296,12266.339175117982,6,5,1,4,3,True,,55.199519184772655,44.269841798831145,1375743.6828121804,68,951,229,True
