scenario,facility_id,name,type,city,existing,throughput_tons,capacity_tons,utilization,lon,lat
scale_stress_combo,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3990.038590630132,8000.0,0.4987548238287665,115.3492668,22.838065
scale_stress_combo,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,4999.9999999999945,5000.0,0.9999999999999989,112.4603629,23.0501661
transport_low,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
transport_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
transport_high,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
transport_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.6211613065498,8000.0,0.26395264516331873,115.3492668,22.838065
transport_double,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1137.0267791650606,1500.0,0.7580178527767071,114.0545429,22.5445741
transport_double,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
transport_fivefold,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1137.0267791650342,1500.0,0.7580178527766894,114.0545429,22.5445741
transport_fivefold,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.621161306555,8000.0,0.2639526451633194,115.3492668,22.838065
radius_tight,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1011.0937215436679,1500.0,0.6740624810291119,113.2589581,23.1288429
radius_tight,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1877.74548286681,8000.0,0.23471818535835126,115.3492668,22.838065
radius_loose,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1193.0391287484717,1500.0,0.7953594191656478,113.2589581,23.1288429
radius_loose,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2215.6440962471615,8000.0,0.2769555120308952,115.3492668,22.838065
road_factor_low,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1149.6989585279484,1500.0,0.7664659723519657,114.4127007,23.1125153
road_factor_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2135.1552086947604,8000.0,0.26689440108684503,115.3492668,22.838065
road_factor_high,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1123.8466914362464,1500.0,0.7492311276241642,114.0545429,22.5445741
road_factor_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2087.143855524454,8000.0,0.26089298194055677,115.3492668,22.838065
organization_self,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1137.026776715066,1500.0,0.7580178511433774,112.4603629,23.0501661
organization_self,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.6211567565497,8000.0,0.2639526445945687,115.3492668,22.838065
organization_entrusted,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1137.0267767150651,1500.0,0.7580178511433767,112.4603629,23.0501661
organization_entrusted,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.6211567565506,8000.0,0.2639526445945688,115.3492668,22.838065
self_build_cost_low,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1137.0267791650654,1500.0,0.7580178527767102,113.2589581,23.1288429
self_build_cost_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
self_build_cost_high,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1137.026779165063,1500.0,0.7580178527767087,113.2589581,23.1288429
self_build_cost_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
collection_capacity_low,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1137.0267791650651,1500.0,0.7580178527767101,112.4603629,23.0501661
collection_capacity_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
collection_capacity_high,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
collection_capacity_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
collection_minimum_zero,P06,江门市朗达锂电池有限公司,echelon,江门,0,1230.8043999999993,1500.0,0.8205362666666662,113.0761073,22.5816619
collection_minimum_zero,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2285.7796000000008,8000.0,0.28572245000000007,115.3492668,22.838065
collection_minimum_100,P06,江门市朗达锂电池有限公司,echelon,江门,0,1219.9058685491268,1500.0,0.8132705790327512,113.0761073,22.5816619
collection_minimum_100,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2265.5394701626637,8000.0,0.283192433770333,115.3492668,22.838065
collection_minimum_500,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1029.8500519144095,1500.0,0.686566701276273,114.0545429,22.5445741
collection_minimum_500,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1912.5786678410393,8000.0,0.2390723334801299,115.3492668,22.838065
partner_capacity_low,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,837.0267791650655,900.0,0.9300297546278505,114.0545429,22.5445741
partner_capacity_low,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,299.9999999999999,900.0,0.3333333333333332,112.4603629,23.0501661
partner_capacity_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
partner_capacity_high,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.026779165067,2400.0,0.47376115798544455,114.0545429,22.5445741
partner_capacity_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
partner_enhanced,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.026779165066,2400.0,0.47376115798544416,114.0545429,22.5445741
partner_enhanced,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.6211613065484,8000.0,0.26395264516331857,115.3492668,22.838065
processing_cost_low,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
processing_cost_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
processing_cost_high,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
processing_cost_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
reuse_low,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,649.7295880943228,1500.0,0.43315305872954857,114.0545429,22.5445741
reuse_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2598.9183523772926,8000.0,0.32486479404716156,115.3492668,22.838065
reuse_high,P11,深圳市杰成镍钴新能源科技有限公司,echelon,深圳,0,1324.323970235807,1500.0,0.8828826468238714,114.0545429,22.5445741
reuse_high,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,300.0,1500.0,0.2,112.4603629,23.0501661
reuse_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1624.3239702358078,8000.0,0.20304049627947598,115.3492668,22.838065
emergency_cost_50,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
emergency_cost_50,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
emergency_cost_75,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
emergency_cost_75,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
emergency_cost_125,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
emergency_cost_125,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
p01_free,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,1137.0267791650654,1500.0,0.7580178527767102,114.4127007,23.1125153
p01_free,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,2111.62116130655,5000.0,0.42232423226131005,113.1159558,23.0239788
p01_reduced,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1137.026779165065,1500.0,0.75801785277671,113.2589581,23.1288429
p01_reduced,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,606.2192207161568,2000.0,0.3031096103580784,115.3492668,22.838065
p01_reduced,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,1505.4019405903932,5000.0,0.30108038811807863,113.1159558,23.0239788
p01_fixed_om_low,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
p01_fixed_om_low,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
p01_fixed_om_high,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.0267791650654,1500.0,0.7580178527767102,114.0545429,22.5445741
p01_fixed_om_high,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
facility_count_min_relaxed,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1137.026779165067,1500.0,0.7580178527767113,114.0545429,22.5445741
facility_count_min_relaxed,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2111.62116130655,8000.0,0.2639526451633188,115.3492668,22.838065
p01_stress_no_expand,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1500.0,1500.0,1.0,114.4127007,23.1125153
p01_stress_no_expand,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_no_expand,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1449.6129955620077,1500.0,0.9664086637080052,114.0545429,22.5445741
p01_stress_no_expand,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,391.1770147772936,1500.0,0.26078467651819576,114.4127007,23.1125153
p01_stress_no_expand,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,2000.0,2000.0,1.0,115.3492668,22.838065
p01_stress_no_expand,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,3939.65158619214,5000.0,0.787930317238428,112.4603629,23.0501661
p01_stress_no_expand,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,3050.3870044379923,5000.0,0.6100774008875984,113.1159558,23.0239788
p01_stress_expand,P10,广州广汽商贸再生资源有限公司,echelon,广州,0,1000.0000000000006,1500.0,0.6666666666666671,113.2589581,23.1288429
p01_stress_expand,P16,深圳艾云动智慧科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_expand,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1244.8107723480343,1500.0,0.8298738482320229,114.0545429,22.5445741
p01_stress_expand,P20E,广东金晟新能源股份有限公司（梯次功能）,echelon,肇庆,0,1095.9792379912665,1500.0,0.730652825327511,112.4603629,23.0501661
p01_stress_expand,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,3990.0385906301317,4000.0,0.9975096476575329,115.3492668,22.838065
p01_stress_expand,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,5000.0,5000.0,1.0,113.1159558,23.0239788
p01_stress_expand_full,P05,惠州市恒创睿能环保科技有限公司,echelon,惠州,0,1500.0,1500.0,1.0,114.4127007,23.1125153
p01_stress_expand_full,P14,格林美（深圳）循环科技有限公司,echelon,深圳,0,1449.612995562008,1500.0,0.9664086637080054,114.0545429,22.5445741
p01_stress_expand_full,P17,深圳市荣高晟新能源科技有限公司,echelon,深圳,0,1500.0,1500.0,1.0,114.0545429,22.5445741
p01_stress_expand_full,P18,中商锂新能源科技（惠州）有限公司,echelon,惠州,0,391.17701477729315,1500.0,0.2607846765181954,114.4127007,23.1125153
p01_stress_expand_full,P01,汕尾比亚迪废旧动力电池回收项目,recycling,汕尾,1,1999.999999999999,2000.0,0.9999999999999996,115.3492668,22.838065
p01_stress_expand_full,P20R,广东金晟新能源股份有限公司（再生功能）,recycling,肇庆,0,3939.65158619214,5000.0,0.787930317238428,112.4603629,23.0501661
p01_stress_expand_full,P21R,广东瑞科美电源技术有限公司（再生功能）,recycling,佛山,0,3050.387004437991,5000.0,0.6100774008875982,113.1159558,23.0239788
