arc_id,origin_id,origin_type,origin_name,destination_id,destination_type,destination_name,proxy_km,osrm_km,osrm_duration_min,route_profile,osrm_query_date,proxy_quality_flag,osrm_quality_flag
A0033,GD02,source,深圳,C12,collection,中山虚拟回收/检测中心,82.31192214368541,86.1462,68.85333333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0034,GD02,source,深圳,C13,collection,江门虚拟回收/检测中心,120.66466151382667,120.5209,93.03999999999999,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0035,GD02,source,深圳,C14,collection,阳江虚拟回收/检测中心,286.6932251227238,293.0269,207.39166666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0036,GD02,source,深圳,C15,collection,湛江虚拟回收/检测中心,488.3737657884904,464.8096,317.76500000000004,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0037,GD02,source,深圳,C16,collection,茂名虚拟回收/检测中心,404.74229830480357,384.0603,266.68,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0038,GD02,source,深圳,C17,collection,肇庆虚拟回收/检测中心,207.3785732131572,216.95839999999998,159.94,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0039,GD02,source,深圳,C18,collection,清远虚拟回收/检测中心,195.61734579697602,200.8077,143.95166666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0040,GD02,source,深圳,C19,collection,潮州虚拟回收/检测中心,348.1177194815358,338.5757,236.155,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0041,GD02,source,深圳,C20,collection,揭阳虚拟回收/检测中心,314.31523480563175,305.6601,218.13333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0042,GD02,source,深圳,C21,collection,云浮虚拟回收/检测中心,279.6377737499675,285.43109999999996,207.16833333333335,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0043,GD03,source,珠海,C01,collection,广州虚拟回收/检测中心,120.43690722365889,126.5484,90.98333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0044,GD03,source,珠海,C02,collection,深圳虚拟回收/检测中心,69.62293789389439,102.1378,86.355,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0045,GD03,source,珠海,C03,collection,珠海虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0046,GD03,source,珠海,C04,collection,汕头虚拟回收/检测中心,408.34484310771325,427.5025,308.2566666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0047,GD03,source,珠海,C05,collection,佛山虚拟回收/检测中心,114.79211666369928,120.55080000000001,88.81,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0048,GD03,source,珠海,C06,collection,韶关虚拟回收/检测中心,342.51517338462924,356.7178,249.975,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0049,GD03,source,珠海,C07,collection,河源虚拟回收/检测中心,304.43065388171823,348.4738,262.0133333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0050,GD03,source,珠海,C08,collection,梅州虚拟回收/检测中心,412.0677892611643,457.3498,317.87333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0051,GD03,source,珠海,C09,collection,惠州虚拟回收/检测中心,152.4261811714796,189.6078,139.17333333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0052,GD03,source,珠海,C10,collection,汕尾虚拟回收/检测中心,258.19268317474746,283.2169,227.06666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0053,GD03,source,珠海,C11,collection,东莞虚拟回收/检测中心,101.6188477233397,124.11760000000001,95.23666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0054,GD03,source,珠海,C12,collection,中山虚拟回收/检测中心,39.969720769320794,43.255,41.19833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0055,GD03,source,珠海,C13,collection,江门虚拟回收/检测中心,73.6969883389518,81.7238,63.93833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0056,GD03,source,珠海,C14,collection,阳江虚拟回收/检测中心,222.31046381687938,242.6795,168.225,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0057,GD03,source,珠海,C15,collection,湛江虚拟回收/检测中心,420.3939061655412,407.07090000000005,277.9066666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0058,GD03,source,珠海,C16,collection,茂名虚拟回收/检测中心,337.94547424500036,326.3216,226.82166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0059,GD03,source,珠海,C17,collection,肇庆虚拟回收/检测中心,171.67709725824648,183.1347,135.76166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0060,GD03,source,珠海,C18,collection,清远虚拟回收/检测中心,198.69550482506634,200.6153,145.05333333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0061,GD03,source,珠海,C19,collection,潮州虚拟回收/检测中心,417.4782471021128,456.11629999999997,310.40999999999997,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0062,GD03,source,珠海,C20,collection,揭阳虚拟回收/检测中心,383.6871953974436,423.20059999999995,292.3883333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0063,GD03,source,珠海,C21,collection,云浮虚拟回收/检测中心,230.79716660051145,246.7611,178.23666666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0064,GD04,source,汕头,C01,collection,广州虚拟回收/检测中心,420.22799394481007,415.0856,288.615,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0065,GD04,source,汕头,C02,collection,深圳虚拟回收/检测中心,340.00628858069996,332.09520000000003,230.66666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0066,GD04,source,汕头,C03,collection,珠海虚拟回收/检测中心,408.34484310771325,429.8842,312.43,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0067,GD04,source,汕头,C04,collection,汕头虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0068,GD04,source,汕头,C05,collection,佛山虚拟回收/检测中心,439.0782039792669,440.9499,306.9616666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0069,GD04,source,汕头,C06,collection,韶关虚拟回收/检测中心,400.29631081436423,434.0546,322.81666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0070,GD04,source,汕头,C07,collection,河源虚拟回收/检测中心,221.4376923116871,235.459,186.12166666666664,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0071,GD04,source,汕头,C08,collection,梅州虚拟回收/检测中心,142.3374058165527,155.25039999999998,113.04666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0072,GD04,source,汕头,C09,collection,惠州虚拟回收/检测中心,279.59950256039025,287.5241,208.64,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0073,GD04,source,汕头,C10,collection,汕尾虚拟回收/检测中心,150.39117711768017,164.7196,132.48166666666665,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0074,GD04,source,汕头,C11,collection,东莞虚拟回收/检测中心,362.4792813676039,363.1892,251.29666666666665,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0075,GD04,source,汕头,C12,collection,中山虚拟回收/检测中心,419.44492112015877,413.5565,293.5783333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0076,GD04,source,汕头,C13,collection,江门虚拟回收/检测中心,454.35854812853415,447.9312,317.76500000000004,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0077,GD04,source,汕头,C14,collection,阳江虚拟回收/检测中心,625.3796721915959,620.4372,432.1166666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0078,GD04,source,汕头,C15,collection,湛江虚拟回收/检测中心,828.3713526049856,792.22,542.49,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0079,GD04,source,汕头,C16,collection,茂名虚拟回收/检测中心,744.5218279389317,711.4706,491.405,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0080,GD04,source,汕头,C17,collection,肇庆虚拟回收/检测中心,518.7961723587362,510.3195,357.37833333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0081,GD04,source,汕头,C18,collection,清远虚拟回收/检测中心,445.8822972488896,427.49379999999996,304.60999999999996,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0082,GD04,source,汕头,C19,collection,潮州虚拟回收/检测中心,40.66307002511119,41.325,40.00666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0083,GD04,source,汕头,C20,collection,揭阳虚拟回收/检测中心,46.098821191901905,46.2723,36.885,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0084,GD04,source,汕头,C21,collection,云浮虚拟回收/检测中心,601.3705692723286,597.1908000000001,411.555,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0085,GD05,source,佛山,C01,collection,广州虚拟回收/检测中心,22.448811015599897,24.544700000000002,21.89333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0086,GD05,source,佛山,C02,collection,深圳虚拟回收/检测中心,132.00168158093638,142.9087,101.89,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0087,GD05,source,佛山,C03,collection,珠海虚拟回收/检测中心,114.79211666369928,120.1601,90.02,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0088,GD05,source,佛山,C04,collection,汕头虚拟回收/检测中心,439.0782039792669,439.7362,305.28499999999997,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0089,GD05,source,佛山,C05,collection,佛山虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0090,GD05,source,佛山,C06,collection,韶关虚拟回收/检测中心,255.76122145140755,255.2269,186.15666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0091,GD05,source,佛山,C07,collection,河源虚拟回收/检测中心,277.62076243937133,290.6221,232.76333333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0092,GD05,source,佛山,C08,collection,梅州虚拟回收/检测中心,403.9212901773776,399.4982,288.62333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0093,GD05,source,佛山,C09,collection,惠州虚拟回收/检测中心,159.63127925962104,157.8114,117.81333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0094,GD05,source,佛山,C10,collection,汕尾虚拟回收/检测中心,294.0126610717624,289.87640000000005,219.34666666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0095,GD05,source,佛山,C11,collection,东莞虚拟回收/检测中心,77.28343572424338,81.8258,64.91,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0096,GD05,source,佛山,C12,collection,中山虚拟回收/检测中心,75.10964913262345,78.16260000000001,59.61333333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0097,GD05,source,佛山,C13,collection,江门虚拟回收/检测中心,59.22325916789457,66.31339999999999,52.69833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0098,GD05,source,佛山,C14,collection,阳江虚拟回收/检测中心,205.69397617582445,219.49929999999998,152.47166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0099,GD05,source,佛山,C15,collection,湛江虚拟回收/检测中心,413.4873083569706,396.0123,265.175,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0100,GD05,source,佛山,C16,collection,茂名虚拟回收/检测中心,325.92386177012366,315.263,214.09,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0101,GD05,source,佛山,C17,collection,肇庆虚拟回收/检测中心,80.57782241114403,85.2239,70.57333333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0102,GD05,source,佛山,C18,collection,清远虚拟回收/检测中心,88.3391479847887,94.4498,73.91333333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0103,GD05,source,佛山,C19,collection,潮州虚拟回收/检测中心,437.5544631248995,434.42490000000004,297.6716666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0104,GD05,source,佛山,C20,collection,揭阳虚拟回收/检测中心,404.77843839887186,401.5093,279.65,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0105,GD05,source,佛山,C21,collection,云浮虚拟回收/检测中心,162.32048508893257,172.0952,124.75,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0106,GD06,source,韶关,C01,collection,广州虚拟回收/检测中心,237.03724939624288,236.2303,169.85,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0107,GD06,source,韶关,C02,collection,深圳虚拟回收/检测中心,306.47442199910176,338.1469,236.02833333333334,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0108,GD06,source,韶关,C03,collection,珠海虚拟回收/检测中心,342.51517338462924,357.90540000000004,254.56,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0109,GD06,source,韶关,C04,collection,汕头虚拟回收/检测中心,400.29631081436423,433.9995,324.35,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0110,GD06,source,韶关,C05,collection,佛山虚拟回收/检测中心,255.76122145140755,257.7153,189.54833333333332,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0111,GD06,source,韶关,C06,collection,韶关虚拟回收/检测中心,0.0,0.0,0.0,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0112,GD06,source,韶关,C07,collection,河源虚拟回收/检测中心,179.54353323515195,250.9004,218.32666666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0113,GD06,source,韶关,C08,collection,梅州虚拟回收/检测中心,288.4343025608088,339.5375,259.57166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0114,GD06,source,韶关,C09,collection,惠州虚拟回收/检测中心,240.57838750981594,272.4595,209.82999999999998,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0115,GD06,source,韶关,C10,collection,汕尾虚拟回收/检测中心,318.73774688823676,398.1455,310.8383333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0116,GD06,source,韶关,C11,collection,东莞虚拟回收/检测中心,242.01314694033505,272.5831,194.70166666666668,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0117,GD06,source,韶关,C12,collection,中山虚拟回收/检测中心,312.80688178629845,324.258,230.72833333333335,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0118,GD06,source,韶关,C13,collection,江门虚拟回收/检测中心,313.42946331342586,314.6585,229.18666666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0119,GD06,source,韶关,C14,collection,阳江虚拟回收/检测中心,441.6558572790621,451.2055,327.32166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0120,GD06,source,韶关,C15,collection,湛江虚拟回收/检测中心,636.9781427860692,644.8062,440.94166666666666,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0121,GD06,source,韶关,C16,collection,茂名虚拟回收/检测中心,551.5998500712193,564.0568000000001,389.8566666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0122,GD06,source,韶关,C17,collection,肇庆虚拟回收/检测中心,289.43307246740227,287.91740000000004,214.13333333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0123,GD06,source,韶关,C18,collection,清远虚拟回收/检测中心,179.19087548833554,180.2101,142.0883333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0124,GD06,source,韶关,C19,collection,潮州虚拟回收/检测中心,375.50319781414925,417.1698,308.1166666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0125,GD06,source,韶关,C20,collection,揭阳虚拟回收/检测中心,354.3772228511982,393.13390000000004,293.2033333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0126,GD06,source,韶关,C21,collection,云浮虚拟回收/检测中心,359.95540729726775,382.7008,274.175,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0127,GD07,source,河源,C01,collection,广州虚拟回收/检测中心,255.35449854690705,273.9589,212.09833333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0128,GD07,source,河源,C02,collection,深圳虚拟回收/检测中心,241.38401680373065,249.9957,196.06,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0129,GD07,source,河源,C03,collection,珠海虚拟回收/检测中心,304.43065388171823,344.5653,267.2916666666667,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
A0130,GD07,source,河源,C04,collection,汕头虚拟回收/检测中心,221.4376923116871,234.5172,186.18833333333333,OSRM driving/car,2026-08-15,D-road proxy; B-coordinates,C-开放路网计算；不是货车/危运合规路线
